age,education,familySize,typeOfHousing,houseOwnership,householdAnnualIncome,ageOfBuilding,freqOfMoving,ageOfCustomerAccountInDays,avgDailyUsage,lateFeePayments,AvgComplaintsRaised,AvgComplaintsResolved,modeOfPayment,typeOfPlanI,typeOfPlanII,Target
34,medium,Medium,2BHK-Apt,Rented,High,20-30yrs,1,>5yrs,0.3586300695,4,0,0,SD,Fixed,Fixed,No
58,low,Medium,3BHK-Apt,Rented,High,>30yrs,7,2-5yrs,9.6326490915,0,9,8,DD,Variable,Variable,No
42,High,Medium,5BHK-House,Owned,Medium,>30yrs,1,2-5yrs,3.2045300021,1,10,2,SD,Fixed,Fixed,No
41,medium,Large,1BHK-Apt,Owned,Medium,20-30yrs,4,>10yrs,1.7480114404,2,5,2,PPM,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,1,>10yrs,1.8958091952,4,2,0,SD,Variable,Variable,No
53,medium,Medium,Mansion,Owned,Medium,20-30yrs,1,2-5yrs,3.1119819221,2,8,5,Others,Variable,Variable,No
41,low,Large,3BHK-Apt,Rented,Low,10-20yrs,3,2-5yrs,3.6253705164,0,8,0,PPM,Variable,Variable,No
32,low,Medium,3BHK-Apt,Rented,Medium,>30yrs,2,<1yr,5.8991325237,0,5,4,DD,Variable,Variable,No
51,High,Medium,3BHK-Apt,Rented,Low,10-20yrs,6,>5yrs,2.4777608068,0,8,4,SD,Variable,Variable,No
27,low,Small,Mansion,Rented,Low,20-30yrs,6,2-5yrs,1.4436682697,0,0,0,SD,Fixed,Fixed,No
51,low,Large,3BHK-Apt,Owned,Medium,20-30yrs,3,2-5yrs,0.9242689508,0,2,0,Others,Fixed,Fixed,No
30,medium,Small,5BHK-House,Rented,High,10-20yrs,3,1-2yrs,4.9672555287,1,6,5,PPM,Fixed,Fixed,No
40,low,Medium,2BHK-Apt,Owned,High,20-30yrs,8,1-2yrs,2.7524727912,1,0,0,SD,Fixed,Fixed,No
30,low,Small,3BHK-Apt,Owned,Low,<10yrs,2,1-2yrs,3.0804900978,4,3,1,PPM,Variable,Variable,Yes
35,High,Small,3BHK-Apt,Owned,Medium,20-30yrs,3,2-5yrs,1.0841185072,0,4,2,SD,Fixed,Fixed,No
38,medium,Small,2BHK-Apt,Owned,Medium,10-20yrs,10,2-5yrs,6.6049043465,2,9,1,PPM,Fixed,Fixed,No
46,low,Large,2BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,0.6519019975,1,8,5,PPM,Fixed,Fixed,No
31,medium,Medium,5BHK-House,Rented,High,10-20yrs,2,2-5yrs,3.3345643545,1,1,0,Others,Variable,Variable,No
61,High,Large,Mansion,Owned,Low,<10yrs,4,2-5yrs,6.2340637468,1,6,0,SD,Variable,Variable,No
53,low,Medium,1BHK-Apt,Rented,Medium,>30yrs,1,>5yrs,5.7124304027,1,6,0,Others,Variable,Variable,No
36,High,Small,1BHK-Apt,Rented,Low,>30yrs,1,1-2yrs,3.4006375277,1,5,4,PPM,Variable,Variable,No
33,medium,Medium,2BHK-Apt,Owned,Low,10-20yrs,5,1-2yrs,0.5717494547,1,10,4,SD,Fixed,Fixed,Yes
31,High,Large,2BHK-Apt,Rented,High,20-30yrs,2,1-2yrs,8.2851996501,0,1,0,DD,Variable,Variable,No
36,medium,Medium,2BHK-Apt,Owned,Low,<10yrs,1,2-5yrs,4.6777969972,3,9,5,Others,Fixed,Fixed,Yes
39,low,Medium,Mansion,Owned,Medium,<10yrs,4,2-5yrs,2.7129056992,3,8,3,SD,Variable,Variable,No
41,medium,Large,2BHK-Apt,Owned,High,20-30yrs,1,2-5yrs,6.4907330475,0,3,0,Others,Variable,Variable,No
43,High,Small,2BHK-Apt,Rented,Medium,10-20yrs,1,2-5yrs,5.2319228127,1,0,0,DD,Variable,Variable,No
33,medium,Small,3BHK-Apt,Rented,Medium,10-20yrs,5,<1yr,4.1871205721,0,5,3,Others,Fixed,Fixed,No
28,medium,Medium,3BHK-Apt,Owned,High,>30yrs,7,1-2yrs,3.287269243,3,0,0,SD,Variable,Variable,No
64,low,Medium,Mansion,Rented,High,<10yrs,3,>5yrs,4.2306620702,2,1,0,DD,Variable,Variable,No
46,low,Medium,5BHK-House,Rented,High,20-30yrs,5,2-5yrs,5.6368680033,3,3,1,PPM,Variable,Variable,No
38,low,Medium,2BHK-Apt,Owned,Low,10-20yrs,2,2-5yrs,1.3708064196,0,9,5,DD,Fixed,Fixed,No
36,High,Medium,1BHK-Apt,Owned,High,20-30yrs,6,1-2yrs,6.3791482144,1,6,3,SD,Fixed,Fixed,No
38,medium,Small,2BHK-Apt,Rented,High,20-30yrs,5,>10yrs,5.3334752557,1,9,4,Others,Fixed,Fixed,No
29,low,Small,3BHK-Apt,Owned,Medium,>30yrs,5,>5yrs,4.6835199067,3,5,0,Others,Fixed,Fixed,Yes
35,low,Large,Mansion,Rented,Low,20-30yrs,7,1-2yrs,4.4783721156,0,1,0,DD,Fixed,Fixed,No
46,low,Medium,3BHK-Apt,Owned,Medium,10-20yrs,3,1-2yrs,6.8991374514,1,4,3,DD,Fixed,Fixed,Yes
45,medium,Medium,3BHK-Apt,Owned,High,20-30yrs,3,>5yrs,0.5177958833,3,1,0,SD,Fixed,Fixed,No
51,medium,Medium,2BHK-Apt,Rented,Low,20-30yrs,4,<1yr,6.2976689746,0,1,0,PPM,Variable,Variable,No
44,low,Large,2BHK-Apt,Owned,Low,<10yrs,7,2-5yrs,1.6125880709,2,2,1,PPM,Fixed,Fixed,No
31,High,Large,3BHK-Apt,Owned,Low,<10yrs,1,2-5yrs,9.5318572656,3,10,6,DD,Variable,Variable,No
35,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,7,1-2yrs,6.8133564845,0,2,1,PPM,Variable,Variable,No
31,High,Large,2BHK-Apt,Owned,Medium,20-30yrs,5,2-5yrs,5.9720840401,3,6,2,DD,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Owned,Low,>30yrs,2,2-5yrs,2.3336827949,1,8,7,SD,Fixed,Fixed,Yes
36,High,Medium,3BHK-Apt,Rented,High,10-20yrs,5,>10yrs,4.453723584,1,6,3,SD,Variable,Variable,No
34,medium,Large,2BHK-Apt,Owned,Medium,>30yrs,7,>10yrs,2.5723205748,1,4,2,SD,Variable,Variable,No
29,low,Small,3BHK-Apt,Owned,Low,20-30yrs,3,2-5yrs,3.4325144536,4,3,2,DD,Variable,Variable,No
48,High,Medium,2BHK-Apt,Rented,Medium,<10yrs,4,1-2yrs,10.0761755102,0,3,1,PPM,Variable,Variable,No
34,low,Medium,Mansion,Owned,Low,10-20yrs,6,2-5yrs,7.3857758679,1,9,6,SD,Fixed,Fixed,No
53,low,Medium,1BHK-Apt,Owned,Low,<10yrs,1,<1yr,7.5711978054,3,2,0,Others,Variable,Variable,Yes
29,low,Small,2BHK-Apt,Owned,High,10-20yrs,4,1-2yrs,4.3058056201,0,9,3,Others,Variable,Variable,No
25,medium,Medium,2BHK-Apt,Rented,Low,20-30yrs,2,1-2yrs,4.9409680362,1,7,6,PPM,Fixed,Fixed,No
42,medium,Small,Mansion,Owned,Low,10-20yrs,4,>10yrs,7.7810372125,1,9,5,PPM,Variable,Variable,Yes
49,medium,Small,3BHK-Apt,Owned,Low,10-20yrs,5,1-2yrs,1.7673578095,0,0,0,DD,Variable,Variable,No
31,High,Medium,3BHK-Apt,Rented,Medium,>30yrs,1,2-5yrs,9.9007507079,1,8,1,DD,Fixed,Fixed,Yes
57,medium,Large,2BHK-Apt,Rented,Medium,20-30yrs,6,2-5yrs,6.2829807026,1,4,3,PPM,Fixed,Fixed,No
41,High,Small,2BHK-Apt,Rented,High,>30yrs,3,1-2yrs,5.6406228888,0,4,3,DD,Variable,Variable,No
30,High,Small,3BHK-Apt,Owned,Low,10-20yrs,5,>10yrs,3.2644760102,0,5,4,DD,Variable,Variable,No
37,medium,Medium,3BHK-Apt,Owned,Low,>30yrs,1,2-5yrs,2.591791751,0,5,3,Others,Variable,Variable,Yes
39,High,Medium,2BHK-Apt,Rented,High,<10yrs,4,2-5yrs,0.8834155092,2,8,5,PPM,Variable,Variable,No
35,medium,Medium,3BHK-Apt,Owned,Low,20-30yrs,1,1-2yrs,4.0624500159,1,0,0,Others,Variable,Variable,No
37,medium,Medium,2BHK-Apt,Owned,High,10-20yrs,7,2-5yrs,2.8474119342,2,0,0,SD,Variable,Variable,No
29,low,Small,3BHK-Apt,Owned,High,10-20yrs,4,2-5yrs,2.9888124562,1,7,5,PPM,Fixed,Fixed,Yes
45,High,Small,2BHK-Apt,Rented,Medium,<10yrs,1,2-5yrs,2.0279533706,0,3,0,SD,Variable,Variable,No
35,High,Small,2BHK-Apt,Owned,High,<10yrs,2,<1yr,1.4761576029,1,9,0,PPM,Variable,Variable,No
33,medium,Medium,3BHK-Apt,Rented,Low,20-30yrs,3,2-5yrs,3.254169388,1,10,0,SD,Variable,Variable,No
38,medium,Medium,2BHK-Apt,Rented,Medium,>30yrs,1,1-2yrs,1.4409214469,3,7,5,SD,Fixed,Fixed,No
32,medium,Small,5BHK-House,Rented,High,10-20yrs,7,2-5yrs,3.3100722216,1,6,1,DD,Fixed,Fixed,Yes
42,High,Medium,2BHK-Apt,Owned,Low,<10yrs,1,2-5yrs,4.6392084812,1,3,2,PPM,Variable,Variable,No
37,medium,Small,5BHK-House,Owned,High,10-20yrs,1,1-2yrs,7.0200471283,4,3,2,Others,Variable,Variable,No
44,low,Large,5BHK-House,Rented,Medium,20-30yrs,3,2-5yrs,5.4003424962,2,9,2,PPM,Variable,Variable,Yes
37,low,Small,2BHK-Apt,Rented,Medium,20-30yrs,5,<1yr,0.5626332036,3,5,1,DD,Variable,Variable,No
31,medium,Small,3BHK-Apt,Rented,Medium,20-30yrs,1,<1yr,4.7782174548,1,8,5,Others,Variable,Variable,No
32,low,Small,3BHK-Apt,Owned,Medium,<10yrs,1,>10yrs,8.2369865012,3,3,2,PPM,Variable,Variable,No
44,High,Medium,2BHK-Apt,Owned,Low,20-30yrs,7,<1yr,4.7271406644,0,4,1,DD,Variable,Variable,No
43,High,Medium,2BHK-Apt,Owned,Medium,20-30yrs,3,>5yrs,10.5695993339,1,4,0,SD,Variable,Variable,No
45,medium,Small,3BHK-Apt,Owned,Medium,10-20yrs,9,2-5yrs,7.849233386,1,0,1,Others,Fixed,Fixed,Yes
40,low,Medium,3BHK-Apt,Owned,Medium,10-20yrs,6,2-5yrs,8.5546875606,1,9,1,SD,Variable,Variable,No
35,medium,Medium,1BHK-Apt,Owned,Medium,>30yrs,2,1-2yrs,2.4835878669,4,4,3,DD,Variable,Variable,No
42,medium,Large,2BHK-Apt,Owned,Low,<10yrs,2,1-2yrs,11.9648233061,0,8,4,DD,Fixed,Fixed,No
46,low,Small,3BHK-Apt,Rented,High,<10yrs,2,2-5yrs,3.8562094395,2,9,6,PPM,Fixed,Fixed,No
42,medium,Medium,1BHK-Apt,Owned,Medium,10-20yrs,1,1-2yrs,3.542741937,2,8,4,DD,Variable,Variable,Yes
41,High,Medium,3BHK-Apt,Owned,Medium,<10yrs,2,1-2yrs,1.0419224776,4,10,5,PPM,Variable,Variable,Yes
31,High,Medium,2BHK-Apt,Rented,Low,20-30yrs,1,2-5yrs,2.0296164082,3,3,1,SD,Fixed,Fixed,Yes
36,medium,Small,5BHK-House,Owned,Medium,10-20yrs,2,2-5yrs,3.0082039686,1,0,0,DD,Variable,Variable,Yes
55,low,Small,5BHK-House,Owned,Medium,20-30yrs,6,1-2yrs,0.7035797604,0,7,0,Others,Fixed,Fixed,No
39,low,Medium,2BHK-Apt,Owned,Medium,20-30yrs,1,1-2yrs,1.2967912522,2,4,0,PPM,Variable,Variable,No
36,low,Large,3BHK-Apt,Rented,Medium,10-20yrs,1,1-2yrs,2.3908944759,1,6,0,PPM,Fixed,Fixed,No
32,medium,Medium,2BHK-Apt,Rented,Medium,10-20yrs,2,2-5yrs,1.1639790428,2,10,3,PPM,Fixed,Fixed,No
48,low,Small,5BHK-House,Owned,High,20-30yrs,5,2-5yrs,4.1404725398,0,5,0,SD,Fixed,Fixed,No
37,medium,Medium,1BHK-Apt,Rented,Low,20-30yrs,5,1-2yrs,3.9918478988,0,7,5,DD,Fixed,Fixed,Yes
36,low,Large,5BHK-House,Owned,Medium,10-20yrs,2,>5yrs,5.3888056115,1,8,2,Others,Variable,Variable,No
36,medium,Medium,5BHK-House,Rented,Low,10-20yrs,1,1-2yrs,2.7689709851,2,9,6,Others,Fixed,Fixed,No
48,High,Medium,3BHK-Apt,Owned,Low,20-30yrs,3,>10yrs,3.3074748766,1,10,7,Others,Fixed,Fixed,No
40,medium,Medium,2BHK-Apt,Owned,Low,10-20yrs,7,1-2yrs,4.0354178903,0,4,1,SD,Variable,Variable,No
41,High,Small,2BHK-Apt,Rented,High,20-30yrs,3,1-2yrs,1.6281899973,2,5,4,PPM,Variable,Variable,No
41,medium,Large,2BHK-Apt,Owned,Medium,10-20yrs,5,1-2yrs,2.6254454107,1,10,2,SD,Variable,Variable,No
33,low,Small,Mansion,Owned,Medium,20-30yrs,5,1-2yrs,8.7502298429,3,4,3,SD,Fixed,Fixed,No
43,medium,Large,5BHK-House,Owned,Medium,10-20yrs,1,1-2yrs,2.9925259858,0,7,4,PPM,Variable,Variable,Yes
45,High,Large,1BHK-Apt,Rented,Low,20-30yrs,1,<1yr,3.4314458714,4,10,8,SD,Variable,Variable,No
30,low,Medium,Mansion,Owned,High,20-30yrs,4,>10yrs,2.710879791,1,9,3,SD,Fixed,Fixed,No
46,medium,Small,Mansion,Owned,High,20-30yrs,1,<1yr,4.2928345272,2,1,0,DD,Variable,Variable,No
33,medium,Medium,1BHK-Apt,Owned,Medium,20-30yrs,2,2-5yrs,6.6137058744,2,9,4,PPM,Fixed,Fixed,No
45,High,Medium,3BHK-Apt,Owned,Medium,20-30yrs,6,<1yr,7.1288341675,0,0,1,Others,Fixed,Fixed,No
53,High,Small,2BHK-Apt,Owned,Medium,10-20yrs,3,2-5yrs,9.5711443793,0,0,1,SD,Fixed,Fixed,No
40,low,Small,2BHK-Apt,Owned,Low,>30yrs,4,1-2yrs,0.280223318,0,3,0,Others,Variable,Variable,No
29,medium,Medium,3BHK-Apt,Owned,Medium,>30yrs,5,2-5yrs,5.9210460646,0,8,0,PPM,Fixed,Fixed,Yes
36,low,Small,2BHK-Apt,Owned,High,20-30yrs,3,2-5yrs,6.1149289586,0,10,4,DD,Fixed,Fixed,Yes
43,medium,Medium,1BHK-Apt,Rented,Medium,20-30yrs,6,<1yr,5.0076003249,0,7,3,PPM,Variable,Variable,No
39,medium,Large,3BHK-Apt,Rented,Medium,<10yrs,6,1-2yrs,1.1931020236,3,1,0,SD,Variable,Variable,Yes
25,medium,Medium,2BHK-Apt,Rented,High,<10yrs,5,2-5yrs,0.7173137067,2,1,0,PPM,Variable,Variable,Yes
30,High,Small,3BHK-Apt,Owned,High,10-20yrs,5,>5yrs,2.0501482358,0,1,0,SD,Fixed,Fixed,No
34,low,Small,2BHK-Apt,Owned,Medium,20-30yrs,2,<1yr,4.895020562,1,1,0,Others,Variable,Variable,Yes
37,low,Medium,5BHK-House,Owned,Medium,>30yrs,4,<1yr,4.5729763995,1,8,7,PPM,Fixed,Fixed,No
58,High,Medium,2BHK-Apt,Owned,High,10-20yrs,2,<1yr,4.817396549,1,0,1,DD,Variable,Variable,No
35,medium,Large,3BHK-Apt,Owned,High,10-20yrs,1,>10yrs,4.9822466407,0,8,6,SD,Variable,Variable,Yes
29,low,Medium,2BHK-Apt,Owned,Low,10-20yrs,4,1-2yrs,5.1554711295,1,0,1,DD,Fixed,Fixed,No
30,low,Large,Mansion,Rented,Medium,10-20yrs,7,1-2yrs,3.8316783662,1,9,0,PPM,Variable,Variable,Yes
25,medium,Medium,Mansion,Rented,Low,20-30yrs,1,<1yr,7.0235515768,1,10,8,PPM,Variable,Variable,No
35,low,Medium,3BHK-Apt,Rented,Low,>30yrs,1,>10yrs,0.7977314838,1,9,3,SD,Variable,Variable,Yes
30,low,Medium,5BHK-House,Rented,Medium,20-30yrs,5,2-5yrs,2.4480768826,1,7,0,DD,Fixed,Fixed,No
41,medium,Small,1BHK-Apt,Owned,High,20-30yrs,3,1-2yrs,1.2845427848,0,8,7,PPM,Fixed,Fixed,No
38,High,Medium,Mansion,Owned,Medium,20-30yrs,1,2-5yrs,2.3090620509,0,3,0,PPM,Variable,Variable,No
32,medium,Small,3BHK-Apt,Owned,Medium,<10yrs,7,<1yr,1.8787434132,0,9,4,PPM,Fixed,Fixed,No
55,low,Large,Mansion,Rented,Low,20-30yrs,3,>10yrs,3.3368566982,0,5,3,SD,Variable,Variable,Yes
24,medium,Large,Mansion,Owned,Medium,20-30yrs,2,2-5yrs,3.9694449699,1,7,0,PPM,Fixed,Fixed,No
34,High,Medium,3BHK-Apt,Rented,Medium,20-30yrs,2,2-5yrs,1.9868944114,1,3,2,PPM,Fixed,Fixed,No
39,medium,Medium,2BHK-Apt,Owned,Low,10-20yrs,1,1-2yrs,3.4217848085,3,8,5,PPM,Fixed,Fixed,No
35,medium,Medium,1BHK-Apt,Owned,High,>30yrs,3,1-2yrs,2.7255727436,2,8,7,PPM,Fixed,Fixed,Yes
35,medium,Small,3BHK-Apt,Owned,Low,10-20yrs,3,1-2yrs,3.9613812327,0,7,4,PPM,Variable,Variable,No
56,medium,Large,1BHK-Apt,Owned,Low,20-30yrs,4,<1yr,1.9561549584,0,6,4,DD,Variable,Variable,No
37,medium,Small,3BHK-Apt,Owned,Medium,20-30yrs,4,2-5yrs,4.3652922953,3,3,1,Others,Fixed,Fixed,No
39,medium,Medium,2BHK-Apt,Owned,Low,10-20yrs,6,2-5yrs,1.6946395794,4,6,1,PPM,Variable,Variable,No
44,medium,Medium,1BHK-Apt,Owned,Low,20-30yrs,2,1-2yrs,4.7900755669,1,8,4,Others,Variable,Variable,No
48,medium,Large,3BHK-Apt,Owned,Medium,20-30yrs,2,>10yrs,4.8868851507,0,6,0,PPM,Variable,Variable,Yes
30,High,Medium,Mansion,Rented,Medium,20-30yrs,2,1-2yrs,9.3563011242,1,6,0,Others,Variable,Variable,No
43,low,Small,2BHK-Apt,Owned,Medium,10-20yrs,4,2-5yrs,0.701702821,1,9,3,SD,Fixed,Fixed,No
51,medium,Large,3BHK-Apt,Rented,Medium,<10yrs,1,1-2yrs,9.7385035216,0,6,2,SD,Fixed,Fixed,Yes
37,low,Medium,3BHK-Apt,Rented,Low,20-30yrs,3,>5yrs,5.6932539027,1,10,6,PPM,Fixed,Fixed,No
46,medium,Small,5BHK-House,Rented,Low,20-30yrs,8,2-5yrs,4.6668640437,1,6,0,SD,Variable,Variable,No
41,low,Large,2BHK-Apt,Owned,Low,10-20yrs,3,2-5yrs,4.067048741,4,1,0,DD,Fixed,Fixed,No
48,low,Small,3BHK-Apt,Owned,High,20-30yrs,1,2-5yrs,5.2572746049,0,0,0,PPM,Variable,Variable,No
38,medium,Small,3BHK-Apt,Owned,Low,>30yrs,2,2-5yrs,0.5401490166,3,1,0,PPM,Variable,Variable,No
29,low,Medium,3BHK-Apt,Owned,Low,<10yrs,6,2-5yrs,7.2283154108,4,4,2,DD,Fixed,Fixed,No
26,High,Large,3BHK-Apt,Owned,Low,10-20yrs,3,2-5yrs,5.6442869316,1,4,0,DD,Fixed,Fixed,Yes
32,low,Medium,5BHK-House,Rented,Medium,20-30yrs,6,<1yr,8.2091194829,0,8,0,PPM,Variable,Variable,No
50,medium,Medium,5BHK-House,Owned,Medium,10-20yrs,1,2-5yrs,6.7649928579,0,4,2,Others,Fixed,Fixed,Yes
32,low,Medium,3BHK-Apt,Rented,Medium,20-30yrs,6,2-5yrs,6.3120326956,2,2,1,Others,Fixed,Fixed,Yes
42,low,Medium,3BHK-Apt,Rented,Low,>30yrs,3,2-5yrs,2.3355850472,3,9,6,DD,Fixed,Fixed,No
39,medium,Small,2BHK-Apt,Rented,High,10-20yrs,1,>10yrs,7.2048598723,0,6,4,SD,Variable,Variable,No
44,High,Medium,2BHK-Apt,Rented,High,>30yrs,7,<1yr,12.9821695164,1,6,3,Others,Variable,Variable,No
27,High,Medium,2BHK-Apt,Owned,Medium,20-30yrs,5,<1yr,4.383296502,3,4,3,Others,Variable,Variable,No
52,medium,Medium,1BHK-Apt,Owned,Low,<10yrs,1,<1yr,9.0665929665,1,5,3,PPM,Fixed,Fixed,Yes
39,medium,Medium,2BHK-Apt,Rented,Low,<10yrs,3,>5yrs,5.730652023,2,6,3,PPM,Fixed,Fixed,No
48,High,Medium,Mansion,Owned,High,>30yrs,2,2-5yrs,3.6297193847,3,5,1,PPM,Variable,Variable,No
43,medium,Medium,5BHK-House,Owned,Low,20-30yrs,5,2-5yrs,6.2672116219,0,6,2,Others,Fixed,Fixed,No
31,medium,Medium,3BHK-Apt,Owned,Medium,20-30yrs,5,<1yr,4.4929187128,3,6,4,SD,Fixed,Fixed,No
35,medium,Medium,5BHK-House,Owned,Medium,20-30yrs,1,1-2yrs,7.8548490759,1,4,3,SD,Fixed,Fixed,No
32,medium,Medium,1BHK-Apt,Owned,Medium,>30yrs,7,2-5yrs,3.2082292987,3,1,0,PPM,Fixed,Fixed,No
51,High,Medium,1BHK-Apt,Owned,Low,10-20yrs,1,1-2yrs,6.097008971,4,7,4,PPM,Variable,Variable,No
33,medium,Medium,5BHK-House,Owned,Low,20-30yrs,6,<1yr,0.2271514303,1,0,0,SD,Fixed,Fixed,No
41,low,Large,Mansion,Owned,Medium,>30yrs,2,2-5yrs,5.7991276947,3,10,3,SD,Fixed,Fixed,No
33,High,Medium,5BHK-House,Rented,High,20-30yrs,3,2-5yrs,6.3867616987,0,8,0,Others,Variable,Variable,No
34,medium,Medium,1BHK-Apt,Owned,High,10-20yrs,5,1-2yrs,3.6770949017,1,1,0,Others,Variable,Variable,No
39,low,Large,5BHK-House,Rented,High,<10yrs,7,2-5yrs,1.6980323691,0,1,0,DD,Variable,Variable,No
35,medium,Large,1BHK-Apt,Owned,Low,10-20yrs,1,2-5yrs,3.2314879017,0,1,0,SD,Fixed,Fixed,No
37,High,Small,3BHK-Apt,Owned,Medium,20-30yrs,1,>10yrs,1.2567311139,0,10,8,PPM,Fixed,Fixed,Yes
47,High,Medium,2BHK-Apt,Owned,Medium,20-30yrs,1,1-2yrs,4.346782989,1,5,3,DD,Variable,Variable,No
32,medium,Medium,3BHK-Apt,Rented,Low,10-20yrs,2,>10yrs,5.5347825318,0,2,0,SD,Fixed,Fixed,No
42,low,Large,Mansion,Owned,High,>30yrs,4,>5yrs,0.6799308209,1,4,3,DD,Fixed,Fixed,No
57,High,Medium,2BHK-Apt,Owned,Medium,10-20yrs,5,1-2yrs,7.4180028117,1,10,3,PPM,Variable,Variable,Yes
27,medium,Small,1BHK-Apt,Owned,High,>30yrs,7,<1yr,6.2438019642,1,3,1,DD,Variable,Variable,No
27,low,Small,3BHK-Apt,Owned,High,<10yrs,1,>10yrs,1.4107541551,1,9,7,PPM,Variable,Variable,No
38,medium,Medium,5BHK-House,Owned,Medium,<10yrs,4,1-2yrs,3.8927976776,0,7,4,PPM,Variable,Variable,No
37,medium,Small,5BHK-House,Owned,Low,>30yrs,2,2-5yrs,9.7354652745,1,3,0,SD,Fixed,Fixed,No
43,medium,Medium,2BHK-Apt,Rented,Medium,<10yrs,5,2-5yrs,3.9799860654,0,8,6,PPM,Fixed,Fixed,No
54,low,Large,1BHK-Apt,Owned,Medium,<10yrs,2,1-2yrs,4.1605859571,2,6,2,Others,Fixed,Fixed,No
41,medium,Small,3BHK-Apt,Owned,Medium,10-20yrs,5,1-2yrs,1.5870815555,1,10,2,PPM,Variable,Variable,No
31,High,Small,2BHK-Apt,Rented,Medium,20-30yrs,1,1-2yrs,5.9046839251,0,3,1,Others,Variable,Variable,No
43,medium,Large,2BHK-Apt,Owned,Low,<10yrs,4,2-5yrs,2.2592970951,4,3,2,Others,Fixed,Fixed,No
38,medium,Small,2BHK-Apt,Rented,High,10-20yrs,2,1-2yrs,1.8391615359,3,9,1,SD,Variable,Variable,No
38,medium,Medium,3BHK-Apt,Owned,Low,10-20yrs,4,2-5yrs,8.2109940842,4,10,4,PPM,Variable,Variable,Yes
44,medium,Small,2BHK-Apt,Rented,Medium,10-20yrs,6,>5yrs,1.3786025286,1,2,1,SD,Variable,Variable,No
30,low,Small,2BHK-Apt,Owned,Low,10-20yrs,2,>10yrs,7.8682670156,4,10,0,DD,Variable,Variable,No
51,low,Small,2BHK-Apt,Owned,High,10-20yrs,5,<1yr,5.1579956783,3,3,1,SD,Fixed,Fixed,No
44,medium,Medium,2BHK-Apt,Owned,High,10-20yrs,1,2-5yrs,7.4705805423,0,8,7,Others,Fixed,Fixed,No
47,medium,Large,3BHK-Apt,Owned,Medium,20-30yrs,1,2-5yrs,3.6658808209,0,3,0,PPM,Fixed,Fixed,No
45,High,Medium,2BHK-Apt,Owned,Medium,>30yrs,5,2-5yrs,1.5085518436,1,2,1,Others,Fixed,Fixed,No
38,medium,Medium,3BHK-Apt,Owned,Low,<10yrs,8,2-5yrs,5.1276851674,4,8,3,Others,Fixed,Fixed,No
50,High,Small,2BHK-Apt,Rented,High,20-30yrs,4,2-5yrs,0.4477852111,3,5,2,DD,Fixed,Fixed,No
30,low,Large,Mansion,Owned,Low,<10yrs,7,2-5yrs,0.5879005114,0,8,2,PPM,Variable,Variable,No
32,medium,Small,1BHK-Apt,Owned,Low,20-30yrs,4,2-5yrs,1.6271655091,4,9,3,SD,Variable,Variable,No
29,High,Medium,1BHK-Apt,Owned,High,20-30yrs,5,2-5yrs,9.0412594506,1,8,7,DD,Fixed,Fixed,No
42,low,Small,1BHK-Apt,Rented,Medium,20-30yrs,1,2-5yrs,5.7973298442,0,2,1,PPM,Variable,Variable,No
53,High,Small,2BHK-Apt,Owned,Low,20-30yrs,7,2-5yrs,7.1944695625,2,10,7,PPM,Variable,Variable,No
31,medium,Medium,1BHK-Apt,Owned,High,20-30yrs,2,1-2yrs,4.7977910072,4,7,5,DD,Fixed,Fixed,Yes
28,medium,Medium,3BHK-Apt,Owned,Medium,20-30yrs,5,>5yrs,5.3072984964,0,1,0,PPM,Fixed,Fixed,No
48,medium,Medium,1BHK-Apt,Owned,Low,20-30yrs,2,1-2yrs,2.2252472907,0,7,0,SD,Variable,Variable,No
26,medium,Small,2BHK-Apt,Rented,Low,20-30yrs,6,>5yrs,2.0065934018,0,1,0,Others,Fixed,Fixed,Yes
39,low,Small,2BHK-Apt,Rented,Medium,10-20yrs,2,>10yrs,3.0230651574,1,2,0,DD,Variable,Variable,No
35,low,Small,1BHK-Apt,Owned,Medium,20-30yrs,1,>10yrs,14.8270451379,1,0,1,Others,Fixed,Fixed,No
42,medium,Medium,5BHK-House,Owned,Medium,>30yrs,4,2-5yrs,2.6824529624,1,2,1,PPM,Variable,Variable,No
26,medium,Medium,2BHK-Apt,Rented,High,<10yrs,5,2-5yrs,2.770412106,4,9,3,SD,Fixed,Fixed,No
35,medium,Large,1BHK-Apt,Rented,High,20-30yrs,2,>5yrs,0.6932862441,3,8,5,Others,Fixed,Fixed,No
43,medium,Medium,5BHK-House,Rented,Low,20-30yrs,5,>10yrs,0.3964739104,4,5,4,Others,Variable,Variable,Yes
36,medium,Medium,1BHK-Apt,Owned,Medium,<10yrs,7,>10yrs,3.8357462364,2,5,0,PPM,Variable,Variable,No
38,low,Medium,3BHK-Apt,Rented,Medium,10-20yrs,6,1-2yrs,3.4230150736,1,6,4,SD,Fixed,Fixed,No
32,medium,Large,Mansion,Owned,Medium,10-20yrs,1,>5yrs,4.8697019211,1,5,4,SD,Variable,Variable,No
36,medium,Small,3BHK-Apt,Owned,Medium,10-20yrs,1,>5yrs,5.7115678386,1,8,2,Others,Variable,Variable,No
